"x","FG"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",NA
"55",NA
"56",NA
"57",NA
"58",NA
"59",NA
"60",NA
"61",NA
"62",NA
"63",NA
"64",NA
"65",NA
"66",NA
"67",NA
"68",NA
"69",NA
"70",NA
"71",NA
"72",NA
"73",NA
"74",NA
"75",NA
"76",NA
"77",NA
"78",NA
"79",NA
"80",NA
"81",NA
"82",NA
"83",NA
"84",NA
"85",NA
"86",NA
"87",NA
"88",NA
"89",NA
"90",NA
"91",NA
"92",NA
"93",NA
"94",1
"95",1
"96",1
"97",1
"98",1
"99",1
"100",1
"101",1
"102",1
"103",1
"104",1
"105",1
"106",1
"107",1
"108",1
"109",1
"110",1
"111",1
"112",1
"113",1
"114",1
"115",0.5
"116",0.5
"117",0.5
"118",0.5
"119",0.5
"120",0.5
"121",0.5
"122",0.5
"123",0.5
"124",0.5
"125",0.5
"126",0.5
"127",0.5
"128",0.5
"129",0.5
"130",0.5
"131",0.5
"132",0.5
"133",0.5
"134",0.666666666666667
"135",0.666666666666667
"136",0.666666666666667
"137",0.666666666666667
"138",0.666666666666667
"139",0.666666666666667
"140",0.666666666666667
"141",0.666666666666667
"142",0.666666666666667
"143",0.666666666666667
"144",0.666666666666667
"145",0.666666666666667
"146",0.666666666666667
"147",0.666666666666667
"148",0.666666666666667
"149",0.666666666666667
"150",0.666666666666667
"151",0.666666666666667
"152",0.666666666666667
"153",0.666666666666667
"154",0.666666666666667
"155",0.666666666666667
"156",0.666666666666667
"157",0.666666666666667
"158",0.666666666666667
"159",0.666666666666667
"160",0.666666666666667
"161",0.666666666666667
"162",0.666666666666667
"163",0.666666666666667
"164",0.666666666666667
"165",0.666666666666667
"166",0.666666666666667
"167",0.666666666666667
"168",0.666666666666667
"169",0.666666666666667
"170",0.666666666666667
"171",0.666666666666667
"172",0.666666666666667
"173",0.666666666666667
"174",0.666666666666667
"175",0.666666666666667
"176",0.666666666666667
"177",0.666666666666667
"178",0.5
"179",0.5
"180",0.5
"181",0.5
"182",0.5
"183",0.5
"184",0.5
"185",0.5
"186",0.5
"187",0.5
"188",0.5
"189",0.5
"190",0.5
"191",0.5
"192",0.5
"193",0.5
"194",0.5
"195",0.5
"196",0.5
"197",0.5
"198",0.5
"199",0.5
"200",0.5
"201",0.5
"202",0.5
"203",0.5
"204",0.5
"205",0.5
"206",0.5
"207",0.5
"208",0.5
"209",0.5
"210",0.5
"211",0.5
"212",0.5
"213",0.5
"214",0.5
"215",0.5
"216",0.5
"217",0.5
"218",0.5
"219",0.5
"220",0.5
"221",0.5
"222",0.5
"223",0.5
"224",0.5
"225",0.5
"226",0.5
"227",0.5
"228",0.5
"229",0.5
"230",0.5
"231",0.5
"232",0.5
"233",0.5
"234",0.5
"235",0.5
"236",0.5
"237",0.5
"238",0.5
"239",0.5
"240",0.5
"241",0.5
"242",0.5
"243",0.5
"244",0.5
"245",0.5
"246",0.5
"247",0.5
"248",0.5
"249",0.5
"250",0.5
"251",0.5
"252",0.5
"253",0.5
"254",0.5
"255",0.5
"256",0.5
"257",0.5
"258",0.5
"259",0.5
"260",0.5
"261",0.5
"262",0.5
"263",0.5
"264",0.5
"265",0.5
"266",0.5
"267",0.5
"268",0.5
"269",0.5
"270",0.5
"271",0.5
"272",0.5
"273",0.5
"274",0.5
"275",0.5
"276",0.5
"277",0.5
"278",0.5
"279",0.5
"280",0.5
"281",0.5
"282",0.5
"283",0.5
"284",0.5
"285",0.5
"286",0.5
"287",0.5
"288",0.5
"289",0.5
"290",0.5
"291",0.5
"292",0.5
"293",0.5
"294",0.5
"295",0.5
"296",0.5
"297",0.5
"298",0.5
"299",0.5
"300",0.5
"301",0.5
"302",0.5
"303",0.5
"304",0.5
"305",0.5
"306",0.5
"307",0.5
"308",0.5
"309",0.5
"310",0.5
"311",0.5
"312",0.5
"313",0.5
"314",0.5
"315",0.5
"316",0.5
"317",0.5
"318",0.5
"319",0.6
"320",0.6
"321",0.6
"322",0.6
"323",0.6
"324",0.6
"325",0.6
"326",0.6
"327",0.6
"328",0.6
"329",0.6
"330",0.6
"331",0.6
"332",0.6
"333",0.6
"334",0.6
"335",0.6
"336",0.6
"337",0.6
"338",0.6
"339",0.666666666666667
"340",0.666666666666667
"341",0.666666666666667
"342",0.666666666666667
"343",0.666666666666667
"344",0.666666666666667
"345",0.666666666666667
"346",0.666666666666667
"347",0.571428571428571
"348",0.571428571428571
"349",0.571428571428571
"350",0.571428571428571
"351",0.571428571428571
"352",0.571428571428571
"353",0.571428571428571
"354",0.571428571428571
"355",0.571428571428571
"356",0.571428571428571
"357",0.571428571428571
"358",0.5
"359",0.5
"360",0.5
"361",0.5
"362",0.5
"363",0.5
"364",0.5
"365",0.444444444444444
"366",0.444444444444444
"367",0.444444444444444
"368",0.444444444444444
"369",0.444444444444444
"370",0.444444444444444
"371",0.444444444444444
"372",0.444444444444444
"373",0.5
"374",0.5
"375",0.5
"376",0.5
"377",0.5
"378",0.5
"379",0.5
"380",0.5
"381",0.5
"382",0.5
"383",0.5
"384",0.5
"385",0.5
"386",0.5
"387",0.5
"388",0.5
"389",0.5
"390",0.5
"391",0.5
"392",0.5
"393",0.5
"394",0.5
"395",0.5
"396",0.5
"397",0.5
"398",0.5
"399",0.5
"400",0.545454545454545
"401",0.545454545454545
"402",0.545454545454545
"403",0.545454545454545
"404",0.545454545454545
"405",0.545454545454545
"406",0.545454545454545
"407",0.545454545454545
"408",0.545454545454545
"409",0.545454545454545
"410",0.545454545454545
"411",0.545454545454545
"412",0.545454545454545
"413",0.545454545454545
"414",0.545454545454545
"415",0.545454545454545
"416",0.545454545454545
"417",0.545454545454545
"418",0.545454545454545
"419",0.545454545454545
"420",0.545454545454545
"421",0.545454545454545
"422",0.545454545454545
"423",0.545454545454545
"424",0.545454545454545
"425",0.545454545454545
"426",0.545454545454545
"427",0.545454545454545
"428",0.545454545454545
"429",0.545454545454545
"430",0.545454545454545
"431",0.545454545454545
"432",0.545454545454545
"433",0.545454545454545
"434",0.545454545454545
"435",0.545454545454545
"436",0.545454545454545
"437",0.545454545454545
"438",0.545454545454545
"439",0.545454545454545
"440",0.545454545454545
"441",0.545454545454545
"442",0.545454545454545
"443",0.5
"444",0.5
"445",0.5
"446",0.5
"447",0.5
"448",0.5
"449",0.5
"450",0.5
"451",0.5
"452",0.5
"453",0.5
"454",0.5
"455",0.5
"456",0.5
"457",0.5
"458",0.5
"459",0.5
"460",0.5
"461",0.5
"462",0.5
"463",0.5
"464",0.5
"465",0.5
"466",0.5
"467",0.538461538461538
"468",0.538461538461538
"469",0.538461538461538
"470",0.538461538461538
"471",0.538461538461538
"472",0.538461538461538
"473",0.538461538461538
"474",0.538461538461538
"475",0.538461538461538
"476",0.538461538461538
"477",0.538461538461538
"478",0.538461538461538
"479",0.538461538461538
"480",0.538461538461538
"481",0.538461538461538
"482",0.538461538461538
"483",0.538461538461538
"484",0.538461538461538
"485",0.538461538461538
"486",0.538461538461538
"487",0.538461538461538
"488",0.538461538461538
